Student,Class Short Name,,,
,EXPOS 10,,,
,FRSEMR 49G,,,
,GOV 20,,,
Student 1473,EXPOS 20,,,
,FRSEMR 63R,,,
,GENED 1105,,,
,ITAL 10,,,
Student 1474,COMPSCI 50,,,
,EXPOS 20,,,
,LIFESCI 1A,,,
,MCB 80,,,
Student 1475,ECON 10A,,,
,GENED 1038,,,
,GENED 1144,,,
,MATH MA,,,
Student 1476,FRSEMR 26E,,,
,GENED 1174,,,
,LIFESCI 1A,,,
,MATH 19A,,,
Student 1477,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 64Y,,,
,MATH 21A,,,
Student 1478,APPHY 50A,,,
,EXPOS 20,,,
,FRSEMR 33C,,,
,MATH 1B,,,
Student 1479,GENED 1181,,,
,KOREAN BA,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 148,COMPSCI 50,,,
,FRSEMR 31J,,,
,GENED 1018,,,
,GENED 1120,,,
Student 1480,FRSEMR 64U,,,
,GENED 1175,,,
,GOV 20,,,
,KOREAN BA,,,
Student 1481,FRSEMR 48K,,,
,GERMAN 20A,,,
,GOV 1780,,,
,HUMAN 10A,,,
Student 1482,EMR 1010,,,
,EXPOS 10,,,
,GENED 1038,,,
,GENED 1089,,,
Student 1483,FRSEMR 62I,,,
,MATH 55A,,,
,PHIL 34,,,
,PHYSICS 19,,,
Student 1484,EXPOS 20,,,
,FRSEMR 64U,,,
,PHIL 34,,,
,SPANSH 10,,,
Student 1485,EXPOS 20,,,
,GENED 1080,,,
,LIFESCI 1A,,,
,MATH MA,,,
Student 1486,CHNSE 120A,,,
,COMPSCI 50,,,
,EXPOS 20,,,
,MATH 22A,,,
Student 1487,FRSEMR 64T,,,
,GENED 1076,,,
,HIST-LIT 90FS,,,
,ITAL 20,,,
Student 1488,COMPSCI 50,,,
,EXPOS 20,,,
,GENED 1080,,,
,MATH 1B,,,
Student 1489,GENED 1044,,,
,GENED 1144,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 149,EXPOS 20,,,
,FRSEMR 51M,,,
,MATH 18A,,,
,PSY 1,,,
Student 1490,COMPSCI 50,,,
,GENED 1181,,,
,MATH 55A,,,
,STAT 110,,,
Student 1491,EXPOS 20,,,
,FRSEMR 43J,,,
,MATH 21A,,,
,PHYSICS 15A,,,
Student 1492,FRSEMR 35E,,,
,GENED 1018,,,
,ITAL 10,,,
,MATH 1A,,,
Student 1493,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 72O,,,
,GOV 20,,,
Student 1494,EXPOS 20,,,
,FRSEMR 33R,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 1495,EXPOS 10,,,
,FRSEMR 41K,,,
,GOV 1540,,,
,SPANSH 11,,,
Student 1496,COMPSCI 50,,,
,FRSEMR 62L,,,
,GENED 1104,,,
,MATH 1B,,,
Student 1497,EXPOS 20,,,
,FRSEMR 21V,,,
,MATH 22A,,,
,PHYSICS 16,,,
Student 1498,COMPSCI 50,,,
,GENED 1011,,,
,MATH 22A,,,
,STAT 110,,,
Student 1499,COMPSCI 50,,,
,EXPOS 20,,,
,GENED 1175,,,
,LIFESCI 1A,,,
Student 15,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 49N,,,
,MUSIC 10,,,
,MUSIC 189R,,,
Student 150,COMPSCI 50,,,
,EXPOS 20,,,
,JAPAN BA,,,
,MATH ESPA,,,
,MATH MA,,,
Student 1500,EXPOS 20,,,
,GENED 1102,,,
,MATH MA,,,
Student 1501,ECON 10A,,,
,EXPOS 20,,,
,GENED 1140,,,
,SOCIOL 1000,,,
Student 1502,EXPOS 10,,,
,LIFESCI 1A,,,
,MATH ESPA,,,
,MATH MA,,,
,SPANSH 10,,,
Student 1503,EXPOS 20,,,
,GENED 1038,,,
,GOV 30,,,
,SPANSH 167,,,
Student 1504,EXPOS 20,,,
,GENED 1033,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1505,CHNSE BA,,,
,ECON 10A,,,
,ENGLISH 10,,,
,EXPOS 10,,,
Student 1506,FRSEMR 33R,,,
,LIFESCI 1A,,,
,MATH 1B,,,
,SPANSH 30,,,
Student 1507,COMPSCI 50,,,
,EXPOS 20,,,
,KOREAN BA,,,
,LIFESCI 1A,,,
,MUSIC 10,,,
Student 1508,EXPOS 20,,,
,GENED 1089,,,
,LPS A,,,
,MATH ESPA,,,
,MATH MA,,,
Student 1509,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 71R,,,
,MATH 1A,,,
Student 151,EXPOS 20,,,
,FRSEMR 72R,,,
,GENED 1104,,,
,MATH 22A,,,
Student 1510,COMPSCI 50,,,
,EXPOS 20,,,
,GENED 1181,,,
,LIFESCI 1A,,,
Student 1511,COMPSCI 50,,,
,FRSEMR 25X,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1512,ECON 10A,,,
,EXPOS 10,,,
,GENED 1038,,,
,LPS A,,,
Student 1513,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 50P,,,
,GENED 1050,,,
Student 1514,GENED 1093,,,
,LIFESCI 1A,,,
,MATH 1A,,,
,SPANSH 11,,,
Student 1515,ENGLISH 10,,,
,FRSEMR 26O,,,
,GENED 1181,,,
,PSY 1,,,
Student 1516,GENED 1181,,,
,MATH 55A,,,
,PHYSICS 19,,,
,STAT 110,,,
Student 1517,COMPSCI 61,,,
,ECON 10A,,,
,FRSEMR 62Z,,,
,MATH 21B,,,
Student 1518,ENGLISH CFE,,,
,EXPOS 20,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 1519,FRSEMR 51F,,,
,GENED 1102,,,
,GOV 1290,,,
,STAT 100,,,
Student 152,ARABIC AA,,,
,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
Student 1520,ECON 10A,,,
,FRSEMR 21W,,,
,GENED 1102,,,
,LPS A,,,
Student 1521,EXPOS 20,,,
,MATH 55A,,,
,PHIL 140,,,
,STAT 110,,,
Student 1522,EXPOS 20,,,
,GENED 1089,,,
,LIFESCI 1A,,,
,MATH MA,,,
Student 1523,EXPOS 10,,,
,LIFESCI 1A,,,
,MATH 21A,,,
,PSY 1,,,
Student 1524,EXPOS 10,,,
,FRSEMR 25N,,,
,LPS A,,,
,MATH 1A,,,
Student 1525,EXPOS 20,,,
,GENED 1102,,,
,GOV 50,,,
,SOCIOL 1000,,,
Student 1526,ECON 10B,,,
,EXPOS 20,,,
,GOV 20,,,
,SPANSH 11,,,
Student 1527,ECON 10A,,,
,EXPOS 20,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 1528,ECON 10A,,,
,EXPOS 20,,,
,GENED 1089,,,
,MATH 1A,,,
Student 1529,COMPLIT 109,,,
,FRSEMR 33R,,,
,HUMAN 20,,,
,LING 101,,,
Student 153,AMHARIC BA,,,
,EXPOS 10,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 1530,EXPOS 20,,,
,MATH 22A,,,
,PHIL 34,,,
,STAT 110,,,
Student 1531,EXPOS 10,,,
,GENED 1089,,,
,LPS A,,,
,MATH 1A,,,
Student 1532,ARABIC AA,,,
,ENGLISH 20,,,
,GOV 1060,,,
,WOMGEN 1208,,,
Student 1533,ECON 10A,,,
,GENED 1120,,,
,MATH 1B,,,
,SPANSH 10,,,
Student 1534,COMPSCI 50,,,
,ECON 10A,,,
,HIST-LIT 90FM,,,
,MATH 22A,,,
Student 1535,COMPSCI 50,,,
,ECON 10A,,,
,GENED 1102,,,
,MATH 1A,,,
Student 1536,EXPOS 10,,,
,LPS A,,,
,MATH MA,,,
,SPANSH 10,,,
Student 1537,ECON 10A,,,
,GENED 1120,,,
,MATH 18A,,,
,SPANSH 10,,,
Student 1538,COMPSCI 50,,,
,EXPOS 10,,,
,MATH MA,,,
Student 1539,FRSEMR 43F,,,
,GENED 1181,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 154,COMPSCI 50,,,
,GENED 1071,,,
,GENED 1130,,,
,MATH 1A,,,
Student 1540,FRENCH 10,,,
,GENED 1033,,,
,LPS A,,,
,MATH 1B,,,
Student 1541,EXPOS 20,,,
,FRSEMR 26E,,,
,LIFESCI 50A,,,
Student 1542,AFVS 118C,,,
,ENGLISH CNL,,,
,FRSEMR 72W,,,
,GOV 20,,,
Student 1543,ECON 10A,,,
,FRSEMR 71G,,,
,HUMAN 10A,,,
,SPANSH 30,,,
Student 1544,FRSEMR 21W,,,
,GENED 1094,,,
,GENED 1103,,,
,PSY 1,,,
Student 1545,ECON 10A,,,
,GENED 1089,,,
,MATH MA,,,
,SPANSH 10,,,
Student 1546,FRSEMR 31J,,,
,GENED 1094,,,
,LIFESCI 50A,,,
Student 1547,EXPOS 20,,,
,FRENCH 11,,,
,FRSEMR 35E,,,
,GOV 20,,,
Student 1548,ECON 10A,,,
,EXPOS 20,,,
,GENED 1033,,,
,GENED 1038,,,
Student 1549,EXPOS 10,,,
,FRSEMR 72S,,,
,LPS A,,,
,MATH MA,,,
Student 155,ECON 10A,,,
,FRSEMR 24G,,,
,GENED 1183,,,
,LIFESCI 1A,,,
Student 1550,CHNSE BA,,,
,COMPSCI 109A,,,
,GENED 1033,,,
,MATH 21A,,,
Student 1551,ECON 10A,,,
,EXPOS 10,,,
,FRENCH 10,,,
,MATH MA,,,
Student 1552,EXPOS 20,,,
,FRSEMR 63L,,,
,GENED 1102,,,
,SPANSH 20,,,
Student 1553,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 42H,,,
Student 1554,EXPOS 10,,,
,GENED 1074,,,
,LPS A,,,
,MATH MA,,,
Student 1555,APPHY 50A,,,
,GENED 1146,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1556,FRSEMR 62R,,,
,GENED 1012,,,
,GENED 1140,,,
,GOV 30,,,
Student 1557,ENGLISH 10,,,
,FRSEMR 62I,,,
,GENED 1012,,,
,LATIN 1,,,
Student 1558,ECON 10A,,,
,FRSEMR 33C,,,
,GENED 1120,,,
,MATH 21A,,,
Student 1559,EXPOS 20,,,
,GENED 1033,,,
,LPS A,,,
,MATH ESPA,,,
,MATH MA,,,
Student 156,COMPSCI 50,,,
,EXPOS 20,,,
,GENED 1120,,,
,MATH 22A,,,
Student 1560,EXPOS 20,,,
,LPS A,,,
,MATH MA,,,
,SAS 100R,,,
Student 1561,ECON 10A,,,
,EXPOS 20,,,
,MODGRK AA,,,
,STAT 104,,,
Student 1562,FRSEMR 51F,,,
,GENED 1093,,,
,LIFESCI 1A,,,
,MATH 22A,,,
Student 1563,EXPOS 10,,,
,GENED 1144,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 1564,COMPSCI 50,,,
,ECON 10A,,,
,GENED 1042,,,
,MATH 21A,,,
Student 1565,EXPOS 10,,,
,GENED 1103,,,
,GENED 1130,,,
,GENED 1146,,,
Student 1566,EXPOS 20,,,
,GENED 1148,,,
,LPS A,,,
,MATH ESPA,,,
,MATH MA,,,
Student 1567,COMPSCI 50,,,
,FRSEMR 41R,,,
,GENED 1094,,,
,MATH 1B,,,
Student 1568,EXPOS 20,,,
,FRSEMR 25N,,,
,LIFESCI 1A,,,
,MATH 22A,,,
Student 1569,ECON 10A,,,
,EXPOS 20,,,
,GENED 1038,,,
,MATH 1A,,,
Student 157,COMPSCI 50,,,
,FRSEMR 52C,,,
,GENED 1080,,,
,MATH 21A,,,
Student 1570,COMPSCI 50,,,
,LIFESCI 1A,,,
,MATH 21A,,,
,MUSIC 10,,,
,MUSIC 51A,,,
Student 1571,COMPSCI 50,,,
,ECON 10A,,,
,GENED 1053,,,
,MATH 22A,,,
Student 1572,COMPSCI 50,,,
,ECON 10A,,,
,FRSEMR 23P,,,
,MATH 25A,,,
Student 1573,ECON 10A,,,
,EXPOS 20,,,
,MATH 1B,,,
,SPANSH 20,,,
Student 1574,ECON 10A,,,
,GENED 1093,,,
,GERMAN 20B,,,
,LIFESCI 1A,,,
Student 1575,FRSEMR 27I,,,
,LIFESCI 1A,,,
,MATH 1B,,,
,PSY 1,,,
Student 1576,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 35N,,,
,GENED 1053,,,
Student 1577,COMPSCI 50,,,
,GENED 1071,,,
,MATH MA,,,
,PSY 1,,,
Student 1578,ECON 10A,,,
,GENED 1069,,,
,MATH 21A,,,
,PHIL 34,,,
Student 1579,FRENCH 30,,,
,FRSEMR 30M,,,
,HUMAN 10A,,,
,MUSIC 14,,,
,MUSIC 51A,,,
Student 158,COMPSCI 50,,,
,EXPOS 10,,,
,GENED 1042,,,
,MATH 1A,,,
Student 1580,ECON 10A,,,
,EXPOS 20,,,
,GENED 1042,,,
,GENED 1175,,,
Student 1581,COMPSCI 50,,,
,EXPOS 10,,,
,MATH 1B,,,
,ZULU AA,,,
Student 1582,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 10,,,
,MATH 22A,,,
Student 1583,EXPOS 20,,,
,FRSEMR 41K,,,
,HIST-LIT 90FL,,,
,HISTSCI 1950,,,
Student 1584,ECON 10A,,,
,EXPOS 20,,,
,GENED 1175,,,
,TDM 120,,,
Student 1585,EXPOS 20,,,
,FRSEMR 26O,,,
,LIFESCI 1A,,,
,MATH 22A,,,
,MUSIC 10,,,
Student 1586,ECON 10A,,,
,EXPOS 10,,,
,GENED 1104,,,
,MATH 21A,,,
Student 1587,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 26E,,,
,MATH 22A,,,
Student 1588,ECON 10A,,,
,EXPOS 10,,,
,MATH QA,,,
,ZULU AA,,,
Student 1589,ECON 1021,,,
,EXPOS 10,,,
,GENED 1140,,,
,GOV 50,,,
Student 159,EXPOS 20,,,
,FRENCH 64,,,
,MATH 55A,,,
,PHYSICS 143A,,,
Student 1590,COMPSCI 50,,,
,FRSEMR 61U,,,
,GERMAN 121,,,
Student 1591,EXPOS 20,,,
,GENED 1093,,,
,LPS A,,,
,MATH 21A,,,
Student 1592,COMPSCI 50,,,
,FRSEMR 62L,,,
,MATH 21A,,,
,PHYSICS 16,,,
Student 1593,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
,MATH 21A,,,
Student 1594,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 64I,,,
,MATH 1B,,,
Student 1595,EXPOS 20,,,
,GENED 1103,,,
,HISTSCI 100,,,
,LPS A,,,
Student 1596,AFRIKAAN AA,,,
,ENG-SCI 139,,,
,NEURO 80,,,
,PSY 1,,,
Student 1597,EXPOS 20,,,
,GENED 1094,,,
,GOV 1790,,,
,GOV 50,,,
Student 1598,AFRIKAAN AA,,,
,EXPOS 20,,,
,GENED 1120,,,
,GOV 50,,,
Student 1599,EMR 1010,,,
,FRSEMR 70P,,,
,GOV 1290,,,
,SOCIOL 1185,,,
Student 16,ECON 10A,,,
,EXPOS 20,,,
,MATH 22A,,,
,PHYSICS 19,,,
Student 160,CHNSE BX,,,
,COMPSCI 50,,,
,EXPOS 10,,,
,MATH 1A,,,
Student 1600,EXPOS 10,,,
,FRENCH 10,,,
,LPS A,,,
,MATH 1B,,,
Student 1601,ECON 10A,,,
,EXPOS 20,,,
,HIST 1465,,,
,MATH 1A,,,
Student 1602,CHNSE BA,,,
,ECON 10A,,,
,EXPOS 20,,,
,GENED 1074,,,
Student 1603,COMPSCI 50,,,
,ENG-SCI 139,,,
,GENED 1104,,,
,MATH 1B,,,
Student 1604,ECON 10A,,,
,EXPOS 20,,,
,GENED 1102,,,
,MATH 1B,,,
Student 1605,EXPOS 20,,,
,FRSEMR 23P,,,
,LIFESCI 1A,,,
,MATH 19A,,,
Student 1606,GENED 1038,,,
,GENED 1102,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 1607,EXPOS 10,,,
,LIFESCI 1A,,,
,MATH MA,,,
,SPANSH 10,,,
Student 1608,FRSEMR 60C,,,
,GENED 1012,,,
,GERMAN 10A,,,
,MATH 1A,,,
Student 1609,ECON 10A,,,
,EXPOS 10,,,
,MATH MA,,,
,ZULU AA,,,
Student 161,ENGLISH 10,,,
,ENGLISH 125PC,,,
,FRSEMR 35N,,,
,LING 101,,,
Student 1610,EXPOS 20,,,
,FRSEMR 50V,,,
,GERMAN 10A,,,
,MATH 1A,,,
Student 1611,ECON 10A,,,
,EXPOS 20,,,
,GENED 1105,,,
,MATH QA,,,
Student 1612,CZCH AA,,,
,ESPP 78,,,
,EXPOS 20,,,
,FRSEMR 72T,,,
Student 1613,EXPOS 20,,,
,FRSEMR 71Y,,,
,GENED 1018,,,
,GENED 1097,,,
Student 1614,LPS A,,,
,MATH 1B,,,
,TDM 109,,,
,TDM 120,,,
Student 1615,EXPOS 20,,,
,FRSEMR 50V,,,
,GENED 1038,,,
,LIFESCI 1A,,,
Student 1616,FRSEMR 64Y,,,
,HUMAN 10A,,,
,PSY 18,,,
,RELIGION 1590,,,
Student 1617,ECON 10A,,,
,ENG-SCI 139,,,
,GENED 1038,,,
,MATH MA,,,
Student 1618,APPHY 50A,,,
,CHNSE 120A,,,
,ECON 10A,,,
,MATH 21A,,,
Student 1619,FRSEMR 72O,,,
,GENED 1091,,,
,MATH MA,,,
,SPANSH 10,,,
Student 162,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 26O,,,
,LIFESCI 1A,,,
Student 1620,ECON 10A,,,
,EXPOS 20,,,
,MATH 21A,,,
,SPANSH 20,,,
Student 1621,FRSEMR 49N,,,
,ITAL 20,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 1622,ECON 10A,,,
,FRSEMR 48K,,,
,GENED 1094,,,
,GOV 20,,,
Student 1623,ECON 10A,,,
,EXPOS 10,,,
,GENED 1131,,,
,PHIL 34,,,
Student 1624,EXPOS 10,,,
,GENED 1104,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 1625,KOREAN BX,,,
,LPS A,,,
,MATH MA,,,
,MUSIC 107,,,
,MUSIC 189R,,,
Student 1626,ECON 10A,,,
,EXPOS 10,,,
,GENED 1042,,,
,KOREAN BA,,,
Student 1627,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 72U,,,
,MATH QA,,,
Student 1628,COMPSCI 50,,,
,FRSEMR 25X,,,
,LIFESCI 1A,,,
,PHIL 34,,,
Student 1629,COMPSCI 50,,,
,ENG-SCI 139,,,
,FRSEMR 62U,,,
,MATH 1A,,,
Student 163,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 31P,,,
,HAA 184G,,,
Student 1630,ECON 10A,,,
,FRSEMR 51M,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 1631,FRSEMR 43J,,,
,GENED 1042,,,
,HUMAN 10A,,,
,MATH 19A,,,
Student 1632,EXPOS 20,,,
,FRSEMR 25N,,,
,GOV 30,,,
,SPANSH 11,,,
Student 1633,FRENCH 20,,,
,FRSEMR 30M,,,
,GENED 1012,,,
,GENED 1038,,,
Student 1634,EXPOS 10,,,
,LIFESCI 1A,,,
,MATH 1B,,,
,SOCIOL 1000,,,
Student 1635,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 70P,,,
,SPANSH 20,,,
Student 1636,EXPOS 20,,,
,FRSEMR 72R,,,
,GENED 1038,,,
,PSY 1900,,,
Student 1637,ECON 10A,,,
,FRSEMR 62I,,,
,HUMAN 10A,,,
,SPANSH 10,,,
Student 1638,ENGLISH 20,,,
,FRENCH 30,,,
,GENED 1104,,,
,MATH 1A,,,
Student 1639,ECON 10A,,,
,EXPOS 20,,,
,MATH 21A,,,
,PORTUG 10,,,
Student 164,EXPOS 10,,,
,LIFESCI 1A,,,
,MATH 1A,,,
,SPANSH 20,,,
Student 1640,EXPOS 20,,,
,FRSEMR 35N,,,
,GENED 1069,,,
,MATH MA,,,
Student 1641,EXPOS 20,,,
,GENED 1044,,,
,MATH 1B,,,
,SPANSH 50,,,
Student 1642,CELTIC 105,,,
,EXPOS 20,,,
,FRSEMR 50V,,,
,LIFESCI 1A,,,
Student 1643,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 31P,,,
Student 165,EXPOS 20,,,
,KOREAN BX,,,
,LIFESCI 1A,,,
,MATH 21A,,,
Student 166,COMPSCI 50,,,
,EXPOS 20,,,
,LIFESCI 50A,,,
Student 167,COMPSCI 120,,,
,GENED 1038,,,
,MATH 55A,,,
,STAT 110,,,
Student 168,EXPOS 20,,,
,GENED 1144,,,
,LPS A,,,
,MATH 22A,,,
Student 169,GENED 1181,,,
,HEB 1330,,,
,MATH 1B,,,
,PSY 1,,,
Student 17,FRSEMR 41R,,,
,GENED 1140,,,
,LING 101,,,
,SPANSH 40,,,
Student 170,EXPOS 20,,,
,FRSEMR 43F,,,
,LPS A,,,
,MATH 1A,,,
Student 171,COMPSCI 50,,,
,GENED 1166,,,
,GOV 1290,,,
,MATH 22A,,,
Student 172,EXPOS 20,,,
,GENED 1093,,,
,GENED 1131,,,
,HIST 1223,,,
Student 173,COMPSCI 50,,,
,ECON 10A,,,
,MATH 21A,,,
,PHYSICS 16,,,
Student 174,ARABIC AA,,,
,COMPSCI 50,,,
,EXPOS 10,,,
,MATH 1A,,,
Student 175,FRSEMR 70P,,,
,HIST-LIT 90FB,,,
,HUMAN 10A,,,
,STAT 100,,,
Student 176,ECON 1010A,,,
,EXPOS 20,,,
,LIFESCI 1A,,,
,MATH 1B,,,
Student 177,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 72W,,,
,MATH 1A,,,
Student 178,FRSEMR 50P,,,
,GENED 1093,,,
,HEB 1330,,,
,PSY 1,,,
Student 179,COMPSCI 50,,,
,EXPOS 20,,,
,GENED 1120,,,
,MATH 22A,,,
Student 18,AFRIKAAN AA,,,
,ECON 10A,,,
,EXPOS 20,,,
,GENED 1102,,,
Student 180,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 43J,,,
,MATH 1A,,,
Student 181,EXPOS 10,,,
,LIFESCI 1A,,,
,MATH ESPA,,,
,MATH MA,,,
,PSY 1,,,
Student 182,GENED 1074,,,
,GENED 1094,,,
,MATH 1B,,,
,SWEDISH 10A,,,
Student 183,ECON 10A,,,
,GOV 20,,,
,HEB 1330,,,
,RUSS HA,,,
Student 184,ECON 10A,,,
,GENED 1089,,,
,HIST 1465,,,
,MATH 1A,,,
Student 185,FRSEMR 72S,,,
,GENED 1076,,,
,HIST-LIT 90EO,,,
,SOCIOL 1000,,,
Student 186,CHNSE BA,,,
,EXPOS 20,,,
,LIFESCI 50A,,,
Student 187,ENGLISH 10,,,
,FRSEMR 64U,,,
,GENED 1102,,,
,HUMAN 10A,,,
Student 188,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 43J,,,
Student 189,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 72W,,,
,SWEDISH 10A,,,
Student 19,EXPOS 20,,,
,MATH MA,,,
,PSY 1,,,
,SOCIOL 1176,,,
Student 190,ECON 10A,,,
,FRSEMR 31J,,,
,MATH 21A,,,
,STAT 100,,,
Student 191,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 62R,,,
,MATH 1A,,,
Student 192,EXPOS 20,,,
,FRSEMR 35N,,,
,GENED 1181,,,
,SOCIOL 1176,,,
Student 193,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
,PHIL 34,,,
Student 194,COMPSCI 50,,,
,FRSEMR 40P,,,
,MATH 1A,,,
,STAT 100,,,
Student 195,COMPSCI 50,,,
,ECON 10A,,,
,FRSEMR 21W,,,
,HIST 1602,,,
Student 196,COMPSCI 50,,,
,EXPOS 10,,,
,FRENCH 10,,,
,MATH 1A,,,
Student 197,FRSEMR 62I,,,
,GENED 1183,,,
,GREEK 3,,,
,MUSIC 10,,,
,PHIL 6,,,
Student 198,FRENCH 40,,,
,FRSEMR 65E,,,
,ITAL 15,,,
Student 199,ARABIC AA,,,
,COMPSCI 50,,,
,EXPOS 10,,,
,MATH MA,,,
Student 2,ECON 10A,,,
,EXPOS 20,,,
,GENED 1012,,,
,TDM 120,,,
Student 20,GENED 1033,,,
,MATH 55A,,,
,PHYSICS 143A,,,
,PHYSICS 151,,,
Student 200,ECON 10A,,,
,ENGLISH 10,,,
,FRSEMR 31P,,,
,HUMAN 10A,,,
Student 201,APMTH 22A,,,
,GENED 1080,,,
,SPANSH 49H,,,
,STAT 110,,,
Student 202,ECON 10A,,,
,EXPOS 10,,,
,GENED 1131,,,
,ZULU AA,,,
Student 203,EXPOS 20,,,
,FRSEMR 43J,,,
,GOV 50,,,
,MATH 21A,,,
Student 204,CHNSE BA,,,
,EXPOS 20,,,
,FRSEMR 65F,,,
,GENED 1102,,,
,MUSIC 18,,,
Student 205,COMPSCI 50,,,
,ECON 10A,,,
,FRSEMR 65E,,,
,SPANSH 11,,,
Student 206,GENED 1089,,,
,LPS A,,,
,MATH 1B,,,
,SPANSH 11,,,
Student 207,EXPOS 10,,,
,FRSEMR 51F,,,
,GENED 1069,,,
,MATH 1A,,,
Student 208,CHNSE BA,,,
,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 48K,,,
Student 209,ECON 10A,,,
,EXPOS 20,,,
,GENED 1071,,,
,GENED 1131,,,
Student 21,ECON 10A,,,
,FRENCH 11,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 210,APMTH 10,,,
,GOV 50,,,
,MATH 22A,,,
,SANSKRIT 101A,,,
Student 211,AFRIKAAN AA,,,
,ECON 10A,,,
,EXPOS 10,,,
,MATH QA,,,
Student 212,FRENCH 20,,,
,GENED 1102,,,
,GOV 30,,,
,TDM 119,,,
Student 213,EXPOS 10,,,
,GENED 1019,,,
,MATH MA,,,
,WSTAFRCN AA,,,
Student 214,EXPOS 20,,,
,GENED 1074,,,
,LPS A,,,
,MATH 1B,,,
Student 215,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 64Y,,,
,SPANSH 30,,,
Student 216,ECON 10A,,,
,ENG-SCI 139,,,
,EXPOS 20,,,
,MATH MA,,,
Student 217,FRSEMR 41K,,,
,GENED 1146,,,
,SOCIOL 1000,,,
,SPANSH 30,,,
Student 218,FRSEMR 40P,,,
,GENED 1183,,,
,MATH 22A,,,
,PHYSICS 15A,,,
Student 219,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 65C,,,
,MATH 1B,,,
Student 22,GENED 1104,,,
,LIFESCI 1A,,,
,MATH 1A,,,
,TWI AA,,,
Student 220,COMPSCI 50,,,
,ECON 10A,,,
,FRSEMR 72O,,,
,LIFESCI 1A,,,
Student 221,COMPSCI 50,,,
,ECON 10A,,,
,EXPOS 20,,,
,MATH 21A,,,
Student 222,ECON 10A,,,
,FRSEMR 49G,,,
,GENED 1074,,,
,GENED 1089,,,
Student 223,ECON 10A,,,
,EXPOS 20,,,
,FRSEMR 48K,,,
,MATH 22A,,,
Student 224,FRSEMR 51M,,,
,GENED 1038,,,
,LIFESCI 1A,,,
,MATH 1A,,,
Student 225,FRSEMR 30Q,,,
,GENED 1175,,,
,LIFESCI 50A,,,
Student 226,EXPOS 20,,,
,FRSEMR 26J,,,
,MATH 1B,,,
,SPANSH 40,,,
Student 227,EXPOS 10,,,
,FRENCH 10,,,
,LPS A,,,
,MATH 1A,,,
Student 228,AFRAMER 180Y,,,
,COMPSCI 61,,,
,FRSEMR 72V,,,
,MATH 1B,,,
Student 229,EXPOS 20,,,
,FRSEMR 72I,,,
,LPS A,,,
,MATH MA,,,
Student 23,EXPOS 20,,,
,FRSEMR 33C,,,
,LIFESCI 1A,,,
,MATH ESPA,,,
,MATH MA,,,
Student 230,APMTH 22A,,,
,COMPSCI 50,,,
,EXPOS 20,,,
,FRSEMR 51S,,,
Student 231,GENED 1074,,,
,MATH 1B,,,
,MATH QA,,,
,SPANSH 11,,,
Student 232,COMPSCI 50,,,
