35,APCOMP 209A,MATH 21A,FOLKMYTH 111,CHNSE BA
36,FRSEMR 41P,MATH 22A,GOV 20,GOV 1021
37,PHIL 117,ENG-SCI 125,STAT 110,MUSIC 221R
38,GENED 1091,CHNSE BX,AFVS 144M,ECON 10A
39,GENED 1130,MATH 21A,GENED 1094,GENED 1038
40,GOV 1060,LIFESCI 2,PHYSCI 2,HIST 1878B
41,APCOMP 295,GENED 1038,GENED 1091,PHYSCI 12B
42,SOC-STD 10A,BCMP 218,PHYSICS 15C,STAT 110
43,PLSH CR,STAT 139,GENED 1074,SPANSH 70B
44,MATH 19A,OEB 145,CHNSE 130A,STAT 139
45,SOCIOL 1112,MATH 131,STAT 121A,OEB 50
46,HEB 1406,CHNSE 140A,SWAHILI AA,AFVS 190T
47,HIST 99A,ASTRON 1,LPS A,ENG-SCI 139
48,ECON 1410,HEB 1406,PSY 1,PHYSICS 15A
49,GENED 1019,PSY 15,APMTH 207,HEB 1392
50,BE 110,GENED 1038,ECON 2248,COMPSCI 50
51,COMPSCI 50,GENED 1074,NEURO 145,GENED 1006
52,GOV 1730,MATH 22A,ECON 1017,KOREAN BA
53,EXPOS 20,MATH MA,APMTH 101,E-PSCI 10
54,COMPSCI 107,ECON 10A,GENED 1093,APMTH 104
55,GENED 1043,MATH 1B,MED-SCI 302QC,EMR 146
56,MATH 99R,GOV 20,HIST-LIT 90DR,ECON 10A
57,COMPSCI 109A,GENED 1038,CHEM 17,GENED 1002
58,MATH 18A,LIFESCI 1A,MATH 21B,MCB 80
59,HISTSCI 98,CHEM 101,COMPSCI 50,FRENCH 80
60,COMPSCI 50,GENED 1033,PSY 1202,FRENCH 62
61,MED-SCI 300QC,HIST-LIT 90EI,ENGLISH 185E,MATH 22A
62,GOV 1740,ECON 10A,ENGLISH 184CF,STAT 110
63,ECON 1010B,ECON 10A,SYSBIO 232,PHYSICS 285B
64,GENED 1120,APMTH 22A,STAT 120,MATH 1B
65,CHEM 110,ECON 1432,FRSEMR 27I,ECON 10A
66,MATH 55A,PHIL 11,MCB 80,MATH 114
67,ECON 10A,ENGLISH 184CF,APCOMP 207,COMPSCI 50
68,MATH 22A,CELLBIO 306QC,GOV 94SN,HEB 1334
69,EXPOS 20,EXPOS 20,SOCIOL 98AC,GENETIC 201
70,MED-SCI 300QC,EXPOS 20,ESPP 90N,PHIL 34
71,PSY 1523,ANTHRO 1182,SCRB 175,GOV 20
72,PHIL 14,ECON 1057,FRSEMR 52M,GOV 20
73,E-PSCI 53,GENED 1074,VIETNAM BA,CHEM 110
74,ECON 2110,MATH 251Y,GENED 1011,GENED 1038
75,SOCIOL 1159,ECON 10A,HIST 1220,ECON 1644
76,MATH MA,ECON 10A,ECON 1011A,MATH 21B
77,GENED 1074,GENED 1038,COMPSCI 136,COMPSCI 50
78,LATIN 10,ENG-SCI 239,ENGLISH 10,GENED 1001
79,ECON 10A,ECON 1126,ECON 1010A,CHEM 17
80,GENED 1091,MATH 21B,COMPSCI 287R,GOV 1790
81,LIFESCI 1A,LIFESCI 2,TDM 130R,HIST 1155
82,CLS-STDY 134,ECON 1126,COMPSCI 165,PSY 1201
83,GENED 1074,ECON 1021,ECON 1123,FRSEMR 26F
84,APPHY 50A,AFVS 179,RELIGION 40,APMTH 201
85,ANTHRO 99A,ECON 70,COMPSCI 61,COMPSCI 136
86,EXPOS 10,ENG-SCI 139,GENED 1038,LIFESCI 2
87,PSY 1,PSY 15,ECON 10A,LING 73A
88,ECON 1010B,HEB 1392,MATH 1B,GENED 1091
89,COMPLIT 260,PSY 1304,STAT 110,ENG-SCI 222
90,MATH 1A,PHYSCI 10,COMPSCI 50,PHS 2000A
91,PSY 1005,NEURO 80,HIST-LIT 90EI,LIFESCI 1A
92,ECON 1010B,SOC-STD 96AP,COMPSCI 136,GENED 1092
93,CHNSE BA,GOV 1010,MATH 21A,GENED 1001
94,COMPSCI 50,APMTH 205,GOV 30,HISTSCI 1334
95,STAT 121A,FRSEMR 72M,CHEM 301HFA,GENED 1033
96,COMPSCI 105,GENED 1038,STAT 110,MATH MA
97,MATH 22A,EXPOS 20,GENED 1093,RELIGION 1049
98,MCB 80,PHYSICS 15C,APCOMP 207,GENED 1038
99,LPS A,ECON 1080,CHEM 30,MATH 1A
100,ARABIC BA,LIFESCI 1A,ENG-SCI 239,ENG-SCI 159
101,TDM 120,ARABIC 131A,FRSEMR 64L,HUMAN 10A
102,GENED 1001,GENED 1079,ECON 2020A,GOV 20
103,EXPOS 20,ENG-SCI 139,ANTHRO 1182,RUSS HA
104,GENED 1001,LING 101,COMPSCI 109A,APMTH 111
105,APCOMP 209A,ENGLISH 145A,MATH 1A,ECON 1010A
106,GENED 1043,EXPOS 10,HIST 1208,GOV 1790
107,STAT 110,HUMAN 20,CHEM 30,PHYSICS 251A
108,GOV 93CJ,HISTSCI 100,GENED 1120,ECON 1420
109,HEB 1381,PHYSCI 2,PSY 15,GENED 1091
110,COMPSCI 109A,ECON 10A,MCB 60,SANSKRIT 102AR
111,COMPSCI 242,COMPSCI 107,GENED 1097,GENED 1091
112,COMPSCI 50,GENED 1011,APPHY 50A,MCB 169
113,LPS A,GENED 1056,GOV 30,MATH 242
114,GENED 1093,PHYSICS 195A,HIST 1155,FRSEMR 63C
115,GENED 1038,EXPOS 20,MUSIC 150,COMPSCI 263
116,ENG-SCI 159,HIST 60O,HIST 3920A,GOV 2003
117,CHEM 17,ECON 10A,GOV 3005A,COMPSCI 109A
118,NEURO 80,MATH 22A,HIST 1776,COMPSCI 187
119,PSY 1201,GENED 1116,GOV 20,ECON 3011
120,COMPSCI 105,ENG-SCI 297,ENGLISH 185E,EXPOS 20
121,COMPLIT 121,ENGLISH 10,ECON 10A,GENED 1079
122,ENGLISH 184CF,SOC-STD 10A,MATH 18A,MATH 1B
123,FRSEMR 24Q,MCB 80,GOV 1510,EXPOS 20
124,ECON 1010B,PSY 1015,MCB 60,MATH 1A
125,PSY 1015,COMPSCI 120,ENGLISH 90LL,GENED 1097
126,COMPSCI 61,RUSS BA,HUMAN 20,MODMDEST 100
127,ENG-SCI 139,SOCIOL 97,GOV 1433,FRSEMR 50Y
128,GENED 1006,MUSIC 10A,EXPOS 20,SOC-STD 10A
129,ENGLISH 10,MATH 21A,HIST 1300,MATH MA
130,FOLKMYTH 111,HLTHPOL 3040,GOV 20,GENED 1018
131,STAT 110,MCB 60,GENED 1174,BE 121
132,COMPSCI 50,EXPOS 20,PSY 15,GENED 1097
133,GOV 1060,ECON 1010B,GENED 1002,MED-SCI 300QC
134,STAT 110,GOV 1372,GOV 94HJ,MCB 80
135,PHYSICS 251A,MATH MA,EXPOS 20,ECON 10A
136,STAT 121A,EXPOS 10,HAA 267K,ECON 10A
137,GENED 1038,EMR 141,HIST 1017,MED-SCI 302QC
138,PHIL 129,EXPOS 20,PSY 1201,HIST 1026
139,APCOMP 209A,GENED 1091,NEURO 80,STAT 110
140,ECON 1644,COMPSCI 109A,ENGLISH CTV,FRSEMR 50R
141,ECON 10A,STAT 185,MATH 22A,GENED 1038
142,MATH 21A,PHYSICS 141,FRSEMR 37Y,AFVS 168T
143,SOC-STD 10A,GENED 1105,PHYSICS 262,PHIL 14
144,HISTSCI 1770,MATH 55A,NEURO 80,SCRB 195
145,GENED 1074,GENED 1092,GENED 1033,PHYSICS 268AR
146,ECON 10A,GENED 1002,COMPSCI 121,LIFESCI 1A
147,PSY 1,ECON 2360,EMR 133,SOC-STD 10A
148,ENG-SCI 155,ANE 120A,LPS A,COMPSCI 121
149,HUMAN 20,HAA 177M,COMPSCI 50,EMR 1010
150,ENG-SCI 139,PSY 1,MATH 21A,MUSIC 10A
151,PHIL 129,COMPSCI 136,GENED 1023,PSY 15
152,FOLKMYTH 111,FRSEMR 50Y,ENGLISH 10,MATH MA
153,COMPSCI 105,GOV 1060,PHYSICS 285B,COMPSCI 50
154,GENED 1093,OEB 65,COMPSCI 105,MUSIC 264R
155,ECON 1123,GOV 94GK,GOV 30,COMPSCI 50
156,GENED 1104,EMR 133,MATH 1B,HIST 3920A
157,ENG-SCI 111,ECON 1010A,EXPOS 20,ESE 168
158,LPS A,MATH 242,APPHY 284,PSY 1811
159,APMTH 22A,MATH 21B,PHS 2000A,MATH 242
160,GENED 1091,ECON 1644,ENG-SCI 239,ECON 1010B
161,GENED 1091,GENED 1143,GOV 1982,HIST-LIT 90EV
162,GENED 1093,ENGLISH 90LL,HIST 12F,STAT 121A
163,GENED 1038,PSY 1,ENG-SCI 239,MED-SCI 302QC
164,GOV 1433,STAT 110,ENG-SCI 239,COMPSCI 182
165,ECON 10A,HISTSCI 1480,FRSEMR 62U,ARABIC 241AR
166,GENED 1038,HIST-LIT 90EZ,COMPSCI 50,APCOMP 207
167,CHEM 177,COMPSCI 50,GENED 1143,PHIL 129
168,ECON 1126,GENED 1091,GENED 1023,LING 101
169,ASTRON 17,ECON 1010A,EXPOS 20,COMPSCI 171
170,HISTSCI 1770,ECON 3011,COMPSCI 50,SCRB 297
171,HUMAN 10A,GOV 94BL,MATH 21A,GENED 1105
172,APMTH 203,COMPSCI 109A,FRSEMR 23Y,SLAVIC 121
173,HISTSCI 100,GENED 1093,PHIL 129,RUSS AA
174,LIFESCI 2,APMTH 101,FOLKMYTH 111,APPHY 50A
175,GENED 1071,NEURO 80,FRSEMR 25X,GENED 1175
176,COMPSCI 182,COMPSCI 121,MCB 99A,ENG-SCI 239
177,TDM 121K,COMPLIT 274,APPHY 50A,AFVS 231
178,BCS BA,SOC-STD 98NB,COMPSCI 107,GENED 1105
179,HISTSCI 99A,GOV 94EK,STAT 185,HISTSCI 100
180,SCRB 197,PSY 1,EXPOS 20,ECON 1021
181,GOV 1790,LIFESCI 1A,MATH 22A,GOV 1060
182,GENED 1004,ENGLISH 90HB,EXPOS 40,ECON 10A
183,GOV 1510,GENED 1034,KOREAN 120A,AFVS 215
184,MATH 1A,COMPLIT 120,ESE 137,MCB 169
185,GOV 1316,PSY 1005,GENED 1002,MCB 80
186,GOV 1790,GOV 1372,GOV 1982,COMPSCI 50
187,ECON 2810A,GENED 1105,ECON 1420,GOV 1316
188,SLAVIC 189,BPH 219,GOV 94HJ,EXPOS 20
189,EXPOS 10,ENG-SCI 95R,HISTSCI 1471,ECON 10A
190,OEB 65,LING 105,MCB 80,SLAVIC 118
191,COMPSCI 120,LPS A,PSY 15,AFRAMER 134X
192,HISTSCI 100,AFVS 39,MCB 112,APCOMP 215
193,LIFESCI 100,MATH 21B,EASTD 199,EXPOS 40
194,SOC-STD 10A,GENED 1093,BCMP 200,LIFESCI 1A
195,MCB 63,STAT 110,PSY 1201,ENGLISH CHCR
196,GENED 1038,COMPSCI 109A,TDM 169S,HIST 1265
197,PSY 14,ENG-SCI 139,ECON 10A,ECON 2120
198,MATH 1A,ENG-SCI 239,NEURO 80,APCOMP 209A
199,ECON 2912,ENG-SCI 111,FRSEMR 41P,HAA 98AR
200,GOV 94EK,COMPSCI 50,PHYSICS 15A,BE 110
201,STAT 211,SOCIOL 97,HIST-LIT 90EU,ENG-SCI 139
202,NEURO 80,ECON 1010B,MCB 60,PSY 15
203,PHYSICS 143A,PSY 1202,GENED 1038,PSY 1
204,GOV 1074,PHYSICS 15B,AFRAMER 134X,GENED 1116
205,STAT 110,MATH 1A,APMTH 121,HIST 1208
206,GENED 1120,SCRB 111,NEURO 80,GENED 1033
207,APCOMP 298R,GOV 2761,PHIL 34,GENED 1043
208,STAT 110,HISTSCI 1334,GENED 1091,NEURO 80
209,ASTRON 1,GENED 1001,GENED 1080,FRSEMR 41R
210,ENGLISH 90CNC,SOC-STD 98NB,GOV 1243,MODMDEST 200A
211,ENGLISH CMAG,ENG-SCI 239,PHIL 138,SCRB 297
212,MATH 22A,COMPLIT 274,STAT 110,EXPOS 40
213,EXPOS 20,LPS A,MCB 80,GENED 1001
214,GENED 1080,FRSEMR 64J,ECON 1436,ENGLISH CAJR
215,HISTSCI 2985,ANTHRO 1906,COMPLIT 252,GENED 1038
216,EXPOS 20,IMMUN 201,PHIL 138,ENGLISH 102E
217,COMPSCI 171,ENGLISH 10,GOV 94EK,VIROLOGY 200
218,EASTD 199,GENED 1004,GENED 1006,PHYSICS 15A
219,GOV 30,HEB 1480,CHEM 17,STAT 110
220,ECON 10A,HAA 155M,GOV 94WY,MATH 114
221,PSY 1005,GENED 1175,E-PSCI 134,GENED 1091
222,ECON 3012,COMPSCI 290A,CHEM 17,MATH 116
223,HUMAN 10A,APMTH 201,ECON 3012,ECON 10A
224,GENED 1023,ECON 1011A,COMPSCI 61,ECON 10A
225,STAT 185,HIST 1265,PHYSICS 15A,MED-SCI 300QC
226,GENED 1143,HIST 1908,STAT 121A,ENG-SCI 239
227,GOV 1074,MATH 1B,SLAVIC 189,BCMP 200
228,GENED 1074,GENED 1023,COMPLIT 212,GENED 1038
229,GENED 1001,ENG-SCI 181,COMPSCI 109A,ENG-SCI 239
230,APMTH 205,MATH MA,MCB 169,GENED 1074
231,ECON 1021,PSY 1816,HISTSCI 99A,SPANSH 59
232,GENED 1019,AFVS 107,MCB 80,ECON 1011A
233,HUMAN 10A,FRSEMR 70J,ECON 10A,LIFESCI 2
234,COMPSCI 50,ENGLISH 10,GENED 1004,GENED 1116
235,EXPOS 40,BE 121,ECON 1017,JAPAN BA
236,MODGRK AA,ESE 168,MED-SCI 300QC,COMPSCI 50
237,HAA 81,SOCIOL 3310,JAPAN BA,MATH 21A
238,APCOMP 209A,APCOMP 207,ECON 1021,FRSEMR 42H
239,PSY 1309,ECON 2020A,ISLAMCIV 184,ENG-SCI 53
240,MCB 112,PSY 1,SOC-STD 98NB,GENED 1079
241,LIFESCI 1A,ENGLISH CNS,EXPOS 20,COMPSCI 50
242,GENED 1097,LIFESCI 1A,MUSIC 189R,SOCIOL 1152
243,SLAVIC 121,COMPSCI 109A,LIFESCI 2,WOMGEN 1204
244,COMPSCI 121,ANTHRO 1781,ECON 10A,PHYSCI 2
245,ASTRON 2,HIST-LIT 90EK,COMPSCI 50,PSY 1005
246,APMTH 205,HEB 99A,HIST 1208,MATH QA
247,ECON 10A,GOV 94EK,MATH MA,HIST 1028
248,APMTH 10,COMPSCI 182,PSY 1309,ENG-SCI 139
249,COMPSCI 107,PSY 1,GOV 20,KOREAN BA
250,PSY 1,COMPSCI 107,CHNSHIS 253,GENED 1023
251,ECON 1126,PHYSICS 285B,HIST 1208,APMTH 104
252,GENED 1094,MATH 1A,GENED 1023,PSY 1304
253,BMIF 201,SOC-STD 96AP,ENGLISH 102E,APPHY 284
254,ESE 137,MATH 21A,COMPSCI 61,PHYSCI 2
255,MATH 288Y,LIFESCI 1A,ENG-SCI 239,HIST 1036
256,FRSEMR 24Q,HAA 97R,APPHY 284,ENGLISH 181A
257,ECON 1432,HIST 1265,PHYSICS 15A,GOV 1790
258,MUSIC 51A,MCB 80,ENG-SCI 239,GENED 1091
259,ECON 10A,GENED 1041,GENED 1018,MCB 60
260,PHIL 129,GENED 1033,COMPSCI 282BR,MATH 21A
261,SOC-STD 10A,HIST 1776,MATH 21B,HISTSCI 98
262,GENED 1094,STAT 139,GENED 1104,GENED 1006
263,MUSIC 97L,PSY 1304,ECON 1010A,LPS A
264,MED-SCI 300QC,STAT 110,TDM 149,MCB 80
265,EXPOS 10,PSY 1,FRSEMR 71Y,HIST 1155
266,MATH MA,SOCIOL 1112,CHEM 30,TDM 109
267,COMPSCI 109A,GENED 1092,GENED 1041,PHYSCI 2
268,CHNSE 130A,CHNSE BX,BE 121,COMPSCI 107
269,LPS A,ANTHRO 1182,ECON 1010A,COMPSCI 109A
270,EASTD 199,CHEM 145,COMPSCI 153,MCB 175
271,GENED 1001,ECON 1017,APCOMP 209A,GENED 1092
272,APMTH 201,EASTD 199,MUSIC 15A,MATH MA
273,GOV 94EK,FRENCH 80,GOV 1510,FRSEMR 50S
274,ECON 70,HIST 1017,STAT 110,MUSIC 16A
275,ECON 10A,LPS A,MATH 1B,SOC-STD 10A
276,GENED 1166,FRSEMR 52K,MATH 230A,ECON 1021
277,LING 101,GENED 1023,MCB 80,ENG-SCI 239
278,GENED 1093,STAT 121A,TURKISH 120A,HIST 12F
279,ENGLISH 90CNC,MATH 1B,PSY 14,LIFESCI 1A
280,COMPSCI 120,PHIL 27,MATH 21A,COMPSCI 107
281,PHIL 6,SCRB 91R,GENED 1006,HEB 1330
282,GENED 1001,MED-SCI 300QC,BIOSTAT 232,EXPOS 20
283,BE 121,ECON 1545,PHYSICS 253A,FOLKMYTH 111
284,GENED 1001,SOC-STD 60,MCB 60,ENGLISH 119TY
285,ECON 10A,GENED 1120,EXPOS 10,GENED 1002
286,STAT 121A,MATH 1A,ENG-SCI 192,GENED 1038
287,COMPSCI 50,EXPOS 20,GENED 1004,MATH MA
288,STAT 139,COMPSCI 109A,STAT 185,GOV 20
289,ENG-SCI 91HFR,LIFESCI 2,FOLKMYTH 111,EXPOS 20
290,ECON 2120,APCOMP 209A,FRSEMR 25N,PHYSCI 12B
291,ECON 1017,OEB 50,SOCIOL 1173,ECON 1057
292,HIST 2636,BCMP 200,PSY 15,SOC-STD 98TD
293,ECON 1017,HIST 1265,STAT 110,MATH 21A
294,SOCIOL 1166,APCOMP 295,APMTH 101,MUSIC 123R
295,APMTH 10,MUSIC 264R,ECON 2360,APMTH 205
296,GENED 1006,GOV 1982,PSY 1201,ENG-SCI 239
297,APPHY 284,E-PSCI 168,STAT 104,GOV 1372
298,GENED 1038,SOCIOL 2282,GHHP 30,SOCIOL 1046
299,COMPSCI 282BR,ENGLISH 10,ECON 10A,GENED 1074
300,MATH 1B,LIFESCI 1A,GENED 1175,GOV 1060
301,ENG-SCI 95R,HAA 177M,PHIL 34,PSY 1901
302,ECON 1436,STAT 110,ENGLISH CTV,KOREAN 130A
303,FRSEMR 64H,RUSS HA,CHNSE 130XA,ECON 10A
304,GENED 1006,COMPSCI 50,EXPOS 20,MATH MA
305,FRSEMR 40P,TAM 101A,CHEM 30,ECON 3012
306,BIOSTAT 245,PSY 3340,APCOMP 207,MATH 21A
307,HIST 1520,GENED 1092,GENED 1074,HUMAN 10A
308,ENG-SCI 259,COMPSCI 187,FOLKMYTH 111,GOV 1790
309,GENED 1001,GENED 1143,MCB 80,ECON 10A
310,GENED 1093,SOC-STD 10A,HAA 98AR,GENED 1033
311,MUSIC 51A,STAT 110,HISTSCI 1460,E-PSCI 168
312,ENGLISH 197GR,CHEM 17,GENED 1006,ECON 1010A
313,FRSEMR 41R,ENG-SCI 53,PHYSCI 12B,FRSEMR 43C
314,COMPSCI 121,GENED 1116,MATH 122,ANTHRO 98A
315,AFVS 190T,HIST 1265,HAA 63,STAT 110
316,PHYSICS 15A,GOV 1510,HIST 2331,FRENCH 30
317,COMPLIT 175,STAT 121A,APCOMP 209A,GENED 1038
318,GOV 1060,MATH 1B,STAT 210,GENED 1002
319,EXPOS 20,APCOMP 207,PSY 1,E-PSCI 50
320,STAT 110,APMTH 104,GENED 1023,EXPOS 20
321,GENED 1023,GENED 1004,GENED 1094,APPHY 50A
322,ECON 1123,ANTHRO 1610,GENED 1004,MATH 286Y
323,MUSIC 97L,ECON 10A,HIST-LIT 90EX,MCB 169
324,EMR 1010,COMPSCI 50,PHIL 129,COMPSCI 120
325,STAT 110,GOV 1433,FRSEMR 63N,GENED 1004
326,COMPSCI 136,HISTSCI 1780,SOC-STD 98LF,ECON 10A
327,MATH 286Y,ESE 137,GENED 1079,ENG-SCI 192
328,LPS A,AFVS 15AR,PSY 1201,COMPSCI 136
329,PSY 15,FRSEMR 33X,GOV 1316,MCB 112
330,COMPSCI 109A,COMPSCI 50,COMPSCI 105,FRSEMR 26J
331,ENG-SCI 51,HEB 1392,GENED 1097,GOV 94BC
332,CHEM 301HFA,PSY 1523,SCRB 297,BCMP 200
333,GENED 1143,ECON 10A,GENED 1006,GENED 1093
334,ESPP 77,GENED 1145,GOV 94RC,MATH 101
335,AFVS 107,ENGLISH 287AG,ECON 1499,EXPOS 40
336,LING 104,HAA 177M,PHYSICS 15A,ECON 10A
337,MATH 21B,PSY 1202,COMPSCI 50,COMPSCI 136
338,PSY 2030,ENGLISH 184CF,JAPAN BA,OEB 10
339,LIFESCI 100,STAT 211,MATH 1B,EMR 147
340,FOLKMYTH 111,MUSIC 189R,ENG-SCI 239,ECON 10A
341,GREEK 1,STAT 121A,EXPOS 40,HAA 155M
342,PSY 1811,ESPP 77,STAT 185,CHNSHIS 253
343,MED-SCI 300QC,WOMGEN 1127,ECON 1017,MBB 980R
344,EMR 1010,SOCIOL 1181,E-PSCI 168,SLAVIC 121
345,ECON 1021,SOC-STD 10A,PSY 1,GENED 1097
346,BBS 301,EXPOS 10,PSY 1,ENG-SCI 159
347,MCB 112,FRSEMR 63F,GENED 1038,PHIL 129
348,GOV 1790,RSRA 298A,PSY 1901,PHYSCI 2
349,GENED 1038,EXPOS 20,OEB 399,STAT 210
350,MATH 22A,ECON 10A,BCS BA,COMPLIT 156
351,PHIL 177I,HIST 1908,MATH 22A,APMTH 111
352,AFRAMER 202,COMPSCI 109A,GENED 1097,ECON 1010B
353,GENED 1023,GENED 1038,ECON 1010B,SLAVIC 144
354,PSY 1005,ECON 1126,LIFESCI 2,HIST 1700
355,ENG-SCI 239,ENGLISH 176TM,SPANSH 122,PSY 1005
356,HIST 1125,ASTRON 17,CHEM 145,MUSIC 14A
357,GOV 1740,E-PSCI 168,EXPOS 20,GENED 1104
358,ARABIC 242AR,HEB 1380,ANTHRO 1610,STAT 139
359,GENED 1023,ECON 2725,ECON 1432,PHIL 117
360,PSY 1,ECON 2010A,GENED 1001,ECON 10A
361,GENED 1074,GOV 30,PHYSCI 2,COMPSCI 50
362,COMPLIT 299AR,COMPSCI 50,ENG-SCI 152,LIFESCI 1A
363,PSY 1,GOV 20,FOLKMYTH 111,GENED 1038
364,GENED 1079,PHIL 129,SOC-STD 98NB,SOCIOL 1173
365,GENED 1038,APCOMP 209A,GENED 1023,HAA 92R
366,GOV 30,GENED 1094,CHNSLIT 114,GENED 1033
367,GOV 94EK,STAT 110,ECON 10A,FRSEMR 35N
368,MATH 1A,MUSIC 189R,ECON 1010A,KOREAN BA
369,AFVS 231,GENED 1038,GOV 1510,MATH 22A
370,MATH 232A,APMTH 104,GENED 1002,MATH 19A
371,HIST 1028,EXPOS 20,IMMUN 307QC,GENED 1093
372,EMR 131,ECON 1010A,MATH 18A,HIST 99A
373,PLSH CR,ECON 1644,HISTSCI 100,SCRB 10
374,APCOMP 215,MATH 286Y,HUMAN 10A,SOC-STD 10A
375,GENED 1105,GENED 1174,RSRA 298A,GENED 1001
376,GOV 1982,ECON 10A,GENED 1001,GENED 1038
377,HAA 155M,APMTH 207,STAT 110,IGBO AA
378,ECON 1723,COMPSCI 50,STAT 120,ECON 1123
379,PSY 1201,MATH MA,MUSIC 167,ECON 1010A
380,MCB 111,GENED 1002,STAT 121A,APCOMP 215
381,HUMAN 10A,EXPOS 10,STAT 110,GENED 1038
382,ENGLISH 10,GOV 1730,HEB 1380,PSY 1900
383,MATH 18A,FRSEMR 41K,LPS A,ECON 1010A
384,MCB 80,HLTHPOL 2000A,MATH 1A,BBS 330
385,ECON 3012,ECON 2020A,PSY 3340,GOV 94NW
386,LIFESCI 1A,FRSEMR 40J,GENED 1094,SOCIOL 97
387,PSY 1,ECON 1080,COMPSCI 153,CHNSE BA
388,EXPOS 20,LATIN 1,COMPSCI 50,EXPOS 20
389,PSY 1005,GENED 1094,ENGLISH 185E,COMPSCI 61
390,PSY 1,ECON 1017,GENED 1044,HAA 197
391,SCRB 195,ENGLISH CNSR,HISTSCI 1932,GOV 1372
392,GENED 1018,SCRB 91R,HIST 12W,GOV 1060
393,FRSEMR 62O,STAT 210,GENED 1004,MICROBI 202
394,MCB 112,PSY 3340,ECON 10A,ENGLISH 185E
395,ENG-SCI 96,CHNSE BA,ECON 2120,COMPSCI 121
396,PHYSICS 15C,MUSIC 15A,APMTH 101,MATH 131
397,SOC-STD 96AP,ECON 1010A,GOV 1510,PSY 1900
398,GENED 1074,CHEM 301HFA,GOV 2001,COMPSCI 50
399,ECON 1021,PSY 1309,ECON 10A,MUSIC 97L
400,ECON 3012,ECON 1010A,MATH 21B,CHEM 17
401,GENED 1038,ENGLISH 90LL,MATH 1B,MED-SCI 302QC
402,MATH 21A,GOV 1372,FOLKMYTH 111,FRSEMR 64Q
403,GENED 1071,MCB 80,HEB 1410,ECON 1017
404,APCOMP 207,ECON 70,COMPSCI 136,ENG-SCI 139
405,PSY 1900,HUMAN 10A,GENED 1175,PHIL 40
406,SOCIOL 1186,CHNSE 130A,KOREAN BX,GENED 1033
407,ECON 1126,LIFESCI 1A,APMTH 121,ECON 1499
408,GENED 1038,TDM 98,MATH 112,ECON 10A
409,SOC-STD 60,HAA 18K,WOMGEN 1210FT,EXPOS 20
410,ECON 1017,GENED 1105,EXPOS 20,MATH 122
411,MCB 112,LATIN 10,COMPSCI 187,MATH 22A
412,GENED 1074,GENED 1038,COMPSCI 136,SOC-STD 96AP
413,PHIL 187,GENED 1038,HUMAN 10A,MCB 112
414,APMTH 10,NEURO 80,MATH 101,GENED 1041
415,PHS 2000A,MCB 99A,ECON 2610,ECON 1436
416,BIOPHYS 206,APMTH 205,HISTSCI 2812,COMPSCI 50
417,HIST 1265,PHYSICS 262,GENED 1097,LPCE 101
418,ANTHRO 1610,GOV 1510,BCMP 200,STAT 121A
